minute,Belgium_xG,Brazil_xG,Belgium_Goal,Brazil_Goal
0,0,0,0,0
1,0.014494464,0,0,0
2,0.014494464,0,0,0
3,0.014494464,0,0,0
4,0.014494464,0,0,0
5,0.014494464,0,0,0
6,0.014494464,0,0,0
7,0.096909282,0.31051052,0,0
8,0.096909282,0.31051052,0,0
9,0.096909282,0.63943766,0,0
10,0.096909282,0.63943766,0,0
11,0.096909282,0.63943766,0,0
12,0.158093372,0.63943766,1,0
13,0.158093372,0.63943766,0,0
14,0.158093372,0.86970323,0,0
15,0.158093372,0.86970323,0,0
16,0.158093372,0.86970323,0,0
17,0.158093372,0.86970323,0,0
18,0.158093372,0.919698827,0,0
19,0.158093372,0.919698827,0,0
20,0.158093372,0.919698827,0,0
21,0.158093372,0.919698827,0,0
22,0.158093372,0.919698827,0,0
23,0.158093372,0.919698827,0,0
24,0.158093372,0.919698827,0,0
25,0.158093372,0.933329956,0,0
26,0.158093372,0.933329956,0,0
27,0.158093372,0.933329956,0,0
28,0.158093372,0.933329956,0,0
29,0.158093372,1.0100948730000001,0,0
30,0.18729994800000002,1.0100948730000001,1,0
31,0.18729994800000002,1.0100948730000001,0,0
32,0.187299948,1.0100948730000001,0,0
33,0.187299948,1.0100948730000001,0,0
34,0.187299948,1.0100948730000001,0,0
35,0.187299948,1.1327694570000002,0,0
36,0.187299948,1.14892255,0,0
37,0.187299948,1.14892255,0,0
38,0.187299948,1.14892255,0,0
39,0.187299948,1.14892255,0,0
40,0.225426085,1.14892255,0,0
41,0.251476956,1.14892255,0,0
42,0.251476956,1.14892255,0,0
43,0.251476956,1.14892255,0,0
44,0.251476956,1.14892255,0,0
45,0.251476956,1.14892255,0,0
46,0.251476956,1.14892255,0,0
47,0.251476956,1.14892255,0,0
48,0.251476956,1.14892255,0,0
49,0.251476956,1.14892255,0,0
50,0.251476956,1.14892255,0,0
51,0.251476956,1.177661116,0,0
52,0.251476956,1.1776611160000001,0,0
53,0.251476956,1.1776611160000001,0,0
54,0.251476956,1.267060896,0,0
55,0.251476956,1.267060896,0,0
56,0.251476956,1.267060896,0,0
57,0.251476956,1.267060896,0,0
58,0.251476956,1.267060896,0,0
59,0.251476956,1.267060896,0,0
60,0.251476956,1.267060896,0,0
61,0.37520752599999996,1.287606584,0,0
62,0.375207526,1.287606584,0,0
63,0.375207526,1.320324378,0,0
64,0.375207526,1.320324378,0,0
65,0.375207526,1.320324378,0,0
66,0.375207526,1.320324378,0,0
67,0.375207526,1.320324378,0,0
68,0.375207526,1.320324378,0,0
69,0.375207526,1.335454339,0,0
70,0.375207526,1.355739053,0,0
71,0.375207526,1.355739053,0,0
72,0.375207526,1.355739053,0,0
73,0.375207526,1.355739053,0,0
74,0.375207526,1.663733809,0,0
75,0.375207526,1.842426109,0,1
76,0.375207526,1.842426109,0,0
77,0.375207526,1.927173483,0,0
78,0.375207526,1.927173483,0,0
79,0.375207526,1.927173483,0,0
80,0.375207526,2.054718333,0,0
81,0.375207526,2.054718333,0,0
82,0.375207526,2.054718333,0,0
83,0.375207526,2.170671488,0,0
84,0.375207526,2.170671488,0,0
85,0.375207526,2.170671488,0,0
86,0.375207526,2.170671488,0,0
87,0.375207526,2.170671488,0,0
88,0.375207526,2.170671488,0,0
89,0.375207526,2.170671488,0,0
90,0.375207526,2.170671488,0,0
91,0.375207526,2.205555458,0,0
92,0.375207526,2.205555458,0,0
93,0.375207526,2.3977219180000002,0,0
94,0.375207526,2.3977219180000002,0,0
95,0.375207526,2.3977219180000002,0,0
